Node_ID,X,Y,Z,Head,Velocity_X,Velocity_Y,Darcy_Flux_X,Darcy_Flux_Y,Hydraulic_Gradient
71,40.0,15.0,0.0,8.00000000000002,1.4285714285714211e-05,5.345573683261584e-20,4.999999999999973e-06,1.8709507891415542e-20,0.049999999999999746
72,45.0,15.0,0.0,7.750000000000021,1.4285714285714358e-05,9.39351728276523e-20,5.000000000000025e-06,3.28773104896783e-20,0.050000000000000246
73,50.0,15.0,0.0,7.500000000000018,1.4285714285714392e-05,1.3233376782345083e-19,5.000000000000037e-06,4.631681873820779e-20,0.050000000000000364
74,55.0,15.0,0.0,7.250000000000018,1.428571428571425e-05,2.475804060120384e-20,4.999999999999987e-06,8.665314210421343e-21,0.04999999999999986
75,60.0,15.0,0.0,7.0000000000000195,1.4285714285714268e-05,-8.175524603937623e-20,4.999999999999994e-06,-2.861433611378168e-20,0.049999999999999954
76,65.0,15.0,0.0,6.750000000000018,1.4285714285714394e-05,-7.014467944282759e-20,5.000000000000038e-06,-2.4550637804989654e-20,0.05000000000000037
77,70.0,15.0,0.0,6.500000000000015,1.4285714285714409e-05,-7.965579147663831e-20,5.000000000000043e-06,-2.787952701682341e-20,0.05000000000000041
78,75.0,15.0,0.0,6.250000000000014,1.42857142857145e-05,-5.435381728430296e-20,5.000000000000075e-06,-1.9023836049506033e-20,0.05000000000000076
79,80.0,15.0,0.0,6.000000000000009,1.4285714285714462e-05,4.422930489466884e-20,5.000000000000061e-06,1.5480256713134093e-20,0.05000000000000061
80,85.0,15.0,0.0,5.750000000000007,1.4285714285714363e-05,1.0889742129918174e-19,5.000000000000027e-06,3.811409745471361e-20,0.050000000000000266
81,90.0,15.0,0.0,5.500000000000006,1.4285714285714404e-05,1.0096725683757349e-19,5.000000000000041e-06,3.533853989315072e-20,0.05000000000000041
82,95.0,15.0,0.0,5.250000000000004,1.4285714285714477e-05,3.1107257490609656e-20,5.0000000000000665e-06,1.0887540121713379e-20,0.05000000000000066
83,100.0,15.0,0.0,5.0,1.4285714285714534e-05,1.321694076934712e-20,5.000000000000087e-06,4.6259292692714914e-21,0.05000000000000086
84,0.0,20.0,0.0,10.0,1.4285714285714055e-05,-3.172065784643306e-20,4.999999999999919e-06,-1.110223024625157e-20,0.04999999999999918
85,5.0,20.0,0.0,9.750000000000005,1.4285714285714082e-05,-3.4174259269726706e-20,4.999999999999928e-06,-1.1960990744404346e-20,0.049999999999999274
86,10.0,20.0,0.0,9.500000000000007,1.4285714285714155e-05,6.976510598167593e-20,4.999999999999954e-06,2.4417787093586574e-20,0.04999999999999954
87,15.0,20.0,0.0,9.250000000000009,1.4285714285714152e-05,1.1990140057700297e-20,4.999999999999953e-06,4.1965490201951036e-21,0.049999999999999524
88,20.0,20.0,0.0,9.00000000000001,1.4285714285714118e-05,-4.5905145832159187e-20,4.999999999999941e-06,-1.6066801041255714e-20,0.049999999999999406
89,25.0,20.0,0.0,8.750000000000014,1.4285714285714087e-05,-8.468331428910931e-20,4.99999999999993e-06,-2.963916000118826e-20,0.049999999999999295
90,30.0,20.0,0.0,8.50000000000002,1.42857142857141e-05,-1.8201420915583844e-19,4.999999999999935e-06,-6.370497320454345e-20,0.04999999999999932
91,35.0,20.0,0.0,8.250000000000021,1.4285714285714274e-05,-9.409953295763218e-20,4.999999999999995e-06,-3.293483653517126e-20,0.049999999999999954
92,40.0,20.0,0.0,8.000000000000018,1.4285714285714382e-05,2.256369267317797e-20,5.0000000000000334e-06,7.897292435612289e-21,0.050000000000000336
93,45.0,20.0,0.0,7.750000000000018,1.4285714285714421e-05,1.5454331363607318e-19,5.000000000000047e-06,5.409015977262561e-20,0.05000000000000046
94,50.0,20.0,0.0,7.500000000000014,1.4285714285714343e-05,1.5296236606387074e-19,5.00000000000002e-06,5.353682812235475e-20,0.05000000000000019
95,55.0,20.0,0.0,7.250000000000016,1.4285714285714126e-05,8.123673904884074e-20,4.999999999999944e-06,2.8432858667094256e-20,0.04999999999999945
96,60.0,20.0,0.0,7.000000000000021,1.4285714285714213e-05,4.545610560631564e-20,4.999999999999974e-06,1.5909636962210473e-20,0.04999999999999974
97,65.0,20.0,0.0,6.750000000000019,1.4285714285714372e-05,-2.440389374064819e-20,5.00000000000003e-06,-8.541362809226866e-21,0.05000000000000031
98,70.0,20.0,0.0,6.500000000000019,1.4285714285714436e-05,-1.0668445980765555e-20,5.000000000000052e-06,-3.733956093267944e-21,0.0500000000000005
99,75.0,20.0,0.0,6.250000000000014,1.4285714285714572e-05,2.8723122832007995e-20,5.0000000000000995e-06,1.0053092991202798e-20,0.05000000000000099
